,Document_No,Dominant_Topic,Topic_Perc_Contrib,Keywords,Text
1079,1079,0.0,0.3333,"deity, pic, evil, stem, burgtec, pedal, grip, bar, picture, copperhead",[]
1080,1080,1.0,0.6664,"unsprungsg, deitycomponent, pushindustrie, evilbicycle, evilbike, burgtec, completeyourkit, sensusgrip, yeticycle, deityblood","[(30, 1)]"
1081,1081,2.0,0.5841,"pic, yeticycle, push, elevensix, sb, bike, evil, new, go, good","[(65, 1), (423, 1), (703, 1)]"
1082,1082,0.0,0.6262,"deity, pic, evil, stem, burgtec, pedal, grip, bar, picture, copperhead","[(60, 1), (61, 1), (65, 1), (127, 1), (620, 1), (656, 1), (712, 1), (713, 1)]"
1083,1083,0.0,0.3333,"deity, pic, evil, stem, burgtec, pedal, grip, bar, picture, copperhead",[]
1084,1084,0.0,0.3333,"deity, pic, evil, stem, burgtec, pedal, grip, bar, picture, copperhead",[]
1085,1085,0.0,0.3333,"deity, pic, evil, stem, burgtec, pedal, grip, bar, picture, copperhead",[]
1086,1086,0.0,0.3333,"deity, pic, evil, stem, burgtec, pedal, grip, bar, picture, copperhead",[]
1087,1087,0.0,0.3333,"deity, pic, evil, stem, burgtec, pedal, grip, bar, picture, copperhead",[]
1088,1088,0.0,0.4778,"deity, pic, evil, stem, burgtec, pedal, grip, bar, picture, copperhead","[(111, 1), (570, 1)]"
1089,1089,0.0,0.3333,"deity, pic, evil, stem, burgtec, pedal, grip, bar, picture, copperhead",[]
1090,1090,0.0,0.3333,"deity, pic, evil, stem, burgtec, pedal, grip, bar, picture, copperhead",[]
1091,1091,1.0,0.8623,"unsprungsg, deitycomponent, pushindustrie, evilbicycle, evilbike, burgtec, completeyourkit, sensusgrip, yeticycle, deityblood","[(29, 1), (30, 1), (264, 1), (507, 1)]"
1092,1092,0.0,0.3333,"deity, pic, evil, stem, burgtec, pedal, grip, bar, picture, copperhead",[]
1093,1093,1.0,0.6664,"unsprungsg, deitycomponent, pushindustrie, evilbicycle, evilbike, burgtec, completeyourkit, sensusgrip, yeticycle, deityblood","[(30, 1)]"
1094,1094,1.0,0.5549,"unsprungsg, deitycomponent, pushindustrie, evilbicycle, evilbike, burgtec, completeyourkit, sensusgrip, yeticycle, deityblood","[(25, 1), (26, 1), (241, 1), (310, 1), (446, 1), (714, 1)]"
1095,1095,0.0,0.3333,"deity, pic, evil, stem, burgtec, pedal, grip, bar, picture, copperhead",[]
1096,1096,0.0,0.3333,"deity, pic, evil, stem, burgtec, pedal, grip, bar, picture, copperhead",[]
1097,1097,2.0,0.6279,"pic, yeticycle, push, elevensix, sb, bike, evil, new, go, good","[(65, 1), (101, 1), (129, 1), (151, 1), (285, 1), (300, 1), (526, 1), (660, 1), (715, 1)]"
1098,1098,0.0,0.3333,"deity, pic, evil, stem, burgtec, pedal, grip, bar, picture, copperhead",[]
1099,1099,1.0,0.8666,"unsprungsg, deitycomponent, pushindustrie, evilbicycle, evilbike, burgtec, completeyourkit, sensusgrip, yeticycle, deityblood","[(9, 1), (29, 1), (30, 1), (34, 1)]"
1100,1100,0.0,0.3333,"deity, pic, evil, stem, burgtec, pedal, grip, bar, picture, copperhead",[]
1101,1101,1.0,0.8666,"unsprungsg, deitycomponent, pushindustrie, evilbicycle, evilbike, burgtec, completeyourkit, sensusgrip, yeticycle, deityblood","[(30, 1), (34, 1), (93, 1), (257, 1)]"
1102,1102,2.0,0.9163,"pic, yeticycle, push, elevensix, sb, bike, evil, new, go, good","[(39, 1), (106, 1), (115, 1), (133, 1), (509, 1), (716, 1), (717, 1), (718, 1)]"
1103,1103,0.0,0.3333,"deity, pic, evil, stem, burgtec, pedal, grip, bar, picture, copperhead",[]
1104,1104,0.0,0.3333,"deity, pic, evil, stem, burgtec, pedal, grip, bar, picture, copperhead",[]
1105,1105,0.0,0.3333,"deity, pic, evil, stem, burgtec, pedal, grip, bar, picture, copperhead",[]
1106,1106,0.0,0.8279,"deity, pic, evil, stem, burgtec, pedal, grip, bar, picture, copperhead","[(8, 1), (115, 1), (660, 1)]"
1107,1107,0.0,0.3333,"deity, pic, evil, stem, burgtec, pedal, grip, bar, picture, copperhead",[]
1108,1108,0.0,0.3333,"deity, pic, evil, stem, burgtec, pedal, grip, bar, picture, copperhead",[]
1109,1109,1.0,0.8666,"unsprungsg, deitycomponent, pushindustrie, evilbicycle, evilbike, burgtec, completeyourkit, sensusgrip, yeticycle, deityblood","[(9, 1), (29, 1), (30, 1), (34, 1)]"
1110,1110,0.0,0.3333,"deity, pic, evil, stem, burgtec, pedal, grip, bar, picture, copperhead",[]
1111,1111,1.0,0.8666,"unsprungsg, deitycomponent, pushindustrie, evilbicycle, evilbike, burgtec, completeyourkit, sensusgrip, yeticycle, deityblood","[(30, 1), (34, 1), (93, 1), (257, 1)]"
