,Document_No,Dominant_Topic,Topic_Perc_Contrib,Keywords,Text
1041,1041,1.0,0.9601,"yeticycle, ridedriven, racebre, ride, trail, shock, rideshimano, bike, chriskingbuzz, photo","[(101, 1), (107, 1), (111, 1), (211, 1), (227, 1), (351, 1), (362, 1), (458, 1), (489, 1), (579, 1), (635, 1), (661, 1), (711, 1), (849, 1), (912, 1), (1220, 1), (1356, 1), (1449, 1), (1747, 1), (1810, 1), (1832, 1), (2642, 1), (2643, 1), (2644, 1), (2645, 1), (2646, 1), (2647, 1), (2648, 1), (2649, 1)]"
1042,1042,2.0,0.6661,"link, bio, full, rampage, watch, race, team, bike, dtswiss, day","[(2559, 1)]"
1043,1043,0.0,0.6187,"richie_rude, first, stage, race, morethanmyth, day, second, year, raceface, team","[(2045, 1)]"
1044,1044,2.0,0.8713,"link, bio, full, rampage, watch, race, team, bike, dtswiss, day","[(20, 1), (82, 2), (136, 1), (161, 1), (218, 1), (223, 1), (229, 1), (231, 1), (239, 1), (251, 1), (263, 1), (276, 1), (298, 1), (410, 1), (509, 1), (514, 1), (544, 1), (607, 1), (683, 1), (698, 1), (734, 1), (744, 1), (844, 1), (884, 1), (920, 1), (1143, 1), (1155, 1), (1334, 1), (1368, 2), (1765, 1), (2045, 1), (2449, 1), (2650, 1), (2651, 1), (2652, 1), (2653, 1), (2654, 1), (2655, 1), (2656, 1), (2657, 1), (2658, 1), (2659, 1), (2660, 1), (2661, 1), (2662, 1), (2663, 1), (2664, 1), (2665, 1), (2666, 1), (2667, 2), (2668, 1)]"
1045,1045,1.0,0.5807,"yeticycle, ridedriven, racebre, ride, trail, shock, rideshimano, bike, chriskingbuzz, photo","[(20, 1), (71, 1), (101, 1), (111, 1), (204, 1), (215, 1), (218, 1), (288, 2), (303, 1), (361, 1), (597, 1), (637, 1), (664, 1), (834, 1), (897, 1), (1125, 1), (1239, 1), (1362, 1), (1591, 1), (1810, 1), (1836, 1), (2045, 1), (2669, 1), (2670, 1), (2671, 2)]"
1046,1046,1.0,0.8903,"yeticycle, ridedriven, racebre, ride, trail, shock, rideshimano, bike, chriskingbuzz, photo","[(0, 1), (12, 1), (20, 1), (28, 1), (66, 1), (82, 1), (83, 2), (149, 1), (170, 1), (214, 1), (218, 1), (227, 1), (247, 1), (431, 1), (440, 1), (489, 1), (494, 1), (538, 1), (728, 1), (776, 1), (844, 1), (1052, 1), (1092, 1), (1265, 2), (1571, 1), (2045, 1), (2084, 1), (2159, 1), (2419, 1), (2549, 1), (2672, 1), (2673, 1), (2674, 1), (2675, 1)]"
1047,1047,1.0,0.5222,"yeticycle, ridedriven, racebre, ride, trail, shock, rideshimano, bike, chriskingbuzz, photo","[(20, 1), (69, 1), (105, 1), (211, 1), (213, 1), (214, 1), (218, 1), (251, 1), (312, 1), (366, 1), (415, 1), (419, 1), (433, 1), (566, 1), (840, 1), (844, 1), (1022, 1), (1064, 1), (1115, 1), (2045, 1), (2676, 1), (2677, 1)]"
1048,1048,1.0,0.6617,"yeticycle, ridedriven, racebre, ride, trail, shock, rideshimano, bike, chriskingbuzz, photo","[(2678, 1)]"
1049,1049,0.0,0.8819,"richie_rude, first, stage, race, morethanmyth, day, second, year, raceface, team","[(20, 1), (33, 1), (69, 1), (87, 1), (94, 1), (96, 1), (99, 1), (100, 1), (157, 1), (202, 2), (214, 1), (218, 2), (229, 1), (251, 1), (268, 1), (350, 1), (375, 1), (407, 1), (536, 1), (543, 1), (639, 1), (650, 1), (786, 1), (812, 1), (844, 1), (935, 1), (1022, 1), (1047, 1), (1120, 1), (1122, 1), (1232, 1), (1608, 1), (2045, 1), (2679, 1), (2680, 1)]"
1050,1050,0.0,0.9281,"richie_rude, first, stage, race, morethanmyth, day, second, year, raceface, team","[(20, 1), (91, 1), (96, 1), (99, 1), (100, 1), (105, 1), (179, 1), (202, 2), (203, 1), (204, 1), (213, 2), (214, 1), (218, 2), (221, 2), (585, 1), (695, 1), (808, 1), (844, 1), (1022, 1), (1230, 1), (1241, 1), (1527, 1), (1577, 1), (1587, 1), (2045, 1), (2193, 1), (2571, 1), (2583, 1), (2681, 1), (2682, 1)]"
