Validation_Set,Topics,Alpha,Beta,Coherence
100% Corpus,2,0.9099999999999999,0.01,0.5976133667312092
100% Corpus,2,0.9099999999999999,0.31,0.5728606372879009
100% Corpus,2,0.9099999999999999,0.61,0.5655125937619022
100% Corpus,2,0.9099999999999999,0.9099999999999999,0.5892643143736294
100% Corpus,2,0.9099999999999999,symmetric,0.6507780215296262
100% Corpus,2,symmetric,0.01,0.6099984744094249
100% Corpus,2,symmetric,0.31,0.604699468718181
100% Corpus,2,symmetric,0.61,0.5736097061651975
100% Corpus,2,symmetric,0.9099999999999999,0.6249507587238723
100% Corpus,2,symmetric,symmetric,0.568299429356003
100% Corpus,2,asymmetric,0.01,0.6260628808465216
100% Corpus,2,asymmetric,0.31,0.6625038763186017
100% Corpus,2,asymmetric,0.61,0.6591555355965235
100% Corpus,2,asymmetric,0.9099999999999999,0.6332779844128755
100% Corpus,2,asymmetric,symmetric,0.6379113008958612
100% Corpus,3,0.01,0.01,0.6512857814595364
100% Corpus,3,0.01,0.31,0.6182369111239497
100% Corpus,3,0.01,0.61,0.6472941048296128
100% Corpus,3,0.01,0.9099999999999999,0.6555064687197897
100% Corpus,3,0.01,symmetric,0.5918157730592964
100% Corpus,3,0.31,0.01,0.6117508553847554
100% Corpus,3,0.31,0.31,0.581659923937229
100% Corpus,3,0.31,0.61,0.583780533040589
100% Corpus,3,0.31,0.9099999999999999,0.6354059232957224
100% Corpus,3,0.31,symmetric,0.6093868370723179
100% Corpus,3,0.61,0.01,0.6052007662955813
100% Corpus,3,0.61,0.31,0.584452954650836
100% Corpus,3,0.61,0.61,0.567111611217888
100% Corpus,3,0.61,0.9099999999999999,0.6161921461251035
100% Corpus,3,0.61,symmetric,0.604518432042871
100% Corpus,3,0.9099999999999999,0.01,0.6197983227733462
100% Corpus,3,0.9099999999999999,0.31,0.645031167607296
100% Corpus,3,0.9099999999999999,0.61,0.6329605947420963
100% Corpus,3,0.9099999999999999,0.9099999999999999,0.6146633987341422
100% Corpus,3,0.9099999999999999,symmetric,0.6361251674671476
100% Corpus,3,symmetric,0.01,0.6069254596619598
100% Corpus,3,symmetric,0.31,0.6127028143651266
100% Corpus,3,symmetric,0.61,0.6013848474400675
100% Corpus,3,symmetric,0.9099999999999999,0.633421887335583
100% Corpus,3,symmetric,symmetric,0.5945595214443542
100% Corpus,3,asymmetric,0.01,0.6719093604158329
100% Corpus,3,asymmetric,0.31,0.61773458654635
100% Corpus,3,asymmetric,0.61,0.6329601385171516
100% Corpus,3,asymmetric,0.9099999999999999,0.6549397052367573
100% Corpus,3,asymmetric,symmetric,0.6353024517236715
100% Corpus,4,0.01,0.01,0.5936993643308119
100% Corpus,4,0.01,0.31,0.5979703070847913
100% Corpus,4,0.01,0.61,0.5865250348180137
100% Corpus,4,0.01,0.9099999999999999,0.555413381017256
100% Corpus,4,0.01,symmetric,0.6038765494342843
100% Corpus,4,0.31,0.01,0.5615843360061936
100% Corpus,4,0.31,0.31,0.5744683628933888
100% Corpus,4,0.31,0.61,0.5586635677327823
100% Corpus,4,0.31,0.9099999999999999,0.5717555859508697
100% Corpus,4,0.31,symmetric,0.5654549691447069
100% Corpus,4,0.61,0.01,0.5571026413132348
100% Corpus,4,0.61,0.31,0.5698303188704318
100% Corpus,4,0.61,0.61,0.575718198266214
100% Corpus,4,0.61,0.9099999999999999,0.5884266081141991
100% Corpus,4,0.61,symmetric,0.578793699657774
100% Corpus,4,0.9099999999999999,0.01,0.5450143383486912
100% Corpus,4,0.9099999999999999,0.31,0.577095637441674
100% Corpus,4,0.9099999999999999,0.61,0.5770920635681067
100% Corpus,4,0.9099999999999999,0.9099999999999999,0.5755069800102268
100% Corpus,4,0.9099999999999999,symmetric,0.5573323046991502
100% Corpus,4,symmetric,0.01,0.5742622791976206
100% Corpus,4,symmetric,0.31,0.5825848396249159
100% Corpus,4,symmetric,0.61,0.5807325899138956
100% Corpus,4,symmetric,0.9099999999999999,0.5647434301552599
100% Corpus,4,symmetric,symmetric,0.5635810050691407
100% Corpus,4,asymmetric,0.01,0.6077566168473764
100% Corpus,4,asymmetric,0.31,0.5751628561234952
100% Corpus,4,asymmetric,0.61,0.6135523215201323
100% Corpus,4,asymmetric,0.9099999999999999,0.6768989015908693
100% Corpus,4,asymmetric,symmetric,0.5728442313575708
100% Corpus,5,0.01,0.01,0.605058568356412
100% Corpus,5,0.01,0.31,0.6216323784532906
100% Corpus,5,0.01,0.61,0.5940473784809901
100% Corpus,5,0.01,0.9099999999999999,0.5715969942025408
100% Corpus,5,0.01,symmetric,0.5661962572051168
100% Corpus,5,0.31,0.01,0.5578888560504172
100% Corpus,5,0.31,0.31,0.5904613987892413
100% Corpus,5,0.31,0.61,0.5872803964270423
100% Corpus,5,0.31,0.9099999999999999,0.5874301444959078
